D03B,D03B1
SERVICES ZA SALON DE COIFFURE,9602
DIGITAL PRINTING AND GRAPHIC DESIGN,1812
UBUCURUZI BW'IBIRIBWA MURI BOUTIQUE,4721
MURUGO,9700
UBUCURUZI BW'INYANYA NA SERERI,4630
UBUCURUZI BUDANDAZA MU ISOKO,4721
GUTWARA ABANTU KURI MOTO,4921
UBUCURUZI BUDANDAZA MU ISOKO,4721
UBUCURUZI BW'IBYUMA BYA ELECTRONIQUE,4652
UBUCURUZI BW'ITUMANAHO NA SERVICE ZA MTN,6399
UBWIKOREZI BW'IMIZIGO,4922
DECLARATION Y'IMISORO,6920
GUCUNGA UMUTEKANO,8010
GUCUNGA UMUTEKANO,8010
IMIRIMO Y'URUGO,9700
UBUCURUZI BW'IBIRIBWA MURI BOUTIQUE,4711
UBUCURUZI BW'IBIRAYI,4630
UBWUBATSI BUNYURANYE,4100
ISUKU N'ISUKURA,8129
UBUCURU BW'IMYENDA MU IDUKA,4641
UBUVUZI BW'ABANTU BAVURA AMASO,8610
INSTALLATION Y'AMASHANYARAZI,3510
UBUKANISHI BW'IBINYABIZIGA,4520
UBUBAJI BW'IBIKORESHO BIVA MUBITI,1610
IBIKORESHO BY'ISUKU,2023
IMIRIMO YO MURUGO,9700
IMIRIMO YO MURUGO,9700
GUCURUZA IMYENDA,4641
UBWUBATSI BWA RUHURURA,4220
IMIRIMO YO MURUGO,9700
ISUKU N'ISUKURA GUTWARA IBISHINGWE,3812
SERVICES Z'AMAHOTEL,5510
IMIRIMO YO MURUGO,9700
KUDODA IMYENDA,1313
UBWUBATSI BW'INZU,4100
UBWIKOREZI BW'IBINTU KUBUTAKA,4922
UBUCURUZI BW'INKWETO,4641
UBUCURUZI BW'IBIRUNGO,4630
UBWIKOREZI BW'IMIZIGO IJYA HANZE,4923
GUKANIKA IMODOKA,4520
UBUCURUZI BW'IMBOGA N'IMBUTO MU MUHANDA,4799
UBUCURUZI BW'IMYENDA,4641
GUTUNGANYA IMISATSI,9602
IMIRIMO INYURANYE YO MU RUGO,9700
UBUCURUZI BUDANDAZA AMARIDO,4641
BATUNGANYA INZARA,9602
UBUCURUZI BWA LAPTOP BUDANDAZA,4741
GUTANGA SERVICE ZO GUFOTORA,1811
UBUCURUZI BW'IMYENDA,4641
GUSYA UBUNYOBWA,163
IMIRIMO INYURANYE YO MU RUGO,9700
UBUCURUZI BUDANDAZA,4781
KUGURA NO KUGURISHA PHONE,4652
QUINCALLERIE,4663
QUINCALLERIE,4663
EVIDENCE CAMPANY,4663
QUINCALLERIE,4663
IMIRIMO YO MU RUGO NO KURERA ABANA,9700
UBUDOZI,1313
KURINDA UMUTEKANO,8010
SERVICE Z'AMAHOTEL,5510
GUSHYIRA UMURIRO MU MAZU YUBAKWA,2740
RESTAURANT Y'IBIRYO N'IBIRIBWA,5610
UBUDOZI BW'IMYENDA,1313
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BURANGUZA,4649
UBUCURUZI BWA FANTA BUDANDAZA,4722
UBUCURUZI BW'IMYENDA BUDANDAZA,4782
GUCURUZA IBINYOMBWA AKABARE,4722
GUTWARA ABANTU,4921
ASSOCIATION UTWARA ABANTU,4921
IMIRIMO YO MURUGO,9700
UBUCURUZI BW'IMYENDA,4799
UBUCURUZI BW'IMBOGA,4630
GURUZA MOBILE MONEY,4741
GUTWARA ABANTU N'IBINTU,4922
GUCURUZA IBIKORESHO BY'IYOBOKAMANA,4761
GUCURUZA IBITABO BY'IYOBOKAMANA,4761
GUCURUZA IBIKORESHO BY'IYOBOKAMANA,4741
GUCURUZA IBITABO BY'IYOBOKAMANA,4761
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BWA RESTAURANT,5610
UBUREZI MU MASHURI YISUMBUYE,8521
UBUCURUZI MWIBIRIBWA,4630
IMIRIMO YO MURUGO,9700
GUTWARA ABANTU,4921
GUTUNGANYA  IMISATSI,9602
IMIRIMO YO MURUGO,9700
GUCURUZA INYAMA,4630
UBUCURUZI BW'IMBOGA,4630
UBUCURUZI BUDANDAZA,4711
GUKORA AMASUKU,8121
UBUCURUZI BW'IMYENDA,4641
UBUCURUZI,4741
UBUCURUZI MOBILE MONEY,4741
GUKANIKA IMODOKA,4520
UMUKOZI WO MU RUGO,9700
UBUCURUZI BW'IBIGORI,4630
UBUCURUZI BWA CAPATI,4630
UBUCURUZI BUDANDAZA,4781
UBUCURUZI BUDANDAZA,4641
KWIGISHA IBINYABIZIGA,8549
GUSORESHA,6920
UBUCURUZI BUDANDAZA,4781
SERVICE ZA RESTAURANT,5610
UBUHINZI BW'IMBOGA N'IBIRAYI,113
 ,5510
UBUCURUZI BW'IMYENDA,4641
IMIRIMO YO MURUGO,9700
 ,161
UBUCURUZI,4641
KWIGISHIRIZA ABANA MU RUGO,8549
UBUREZI BW'AMASHURI ABANZA N'AYISUMBUYE,8521
 ,4630
UBUCURUZI BW'IBIRIBWA,4630
GUCURUZA MURI BOUTIQUE,4711
UBUCURUZI BWA BOUTIQUE,4711
UBUCURUZI BW'IBIRUNGO,4630
GUTANGA SERVICE Z'ITUMANAHO,4741
UBUCURUZI BW'AMAKARA ADANDAZA,220
UBWIKOREZI BW'IMIZIGO,4922
URUGANDA RW'IMIGATI(GUKORA IMIGATI),1071
UBUCURUZI BW'INZOGA N'IBYO KURYA,4630
UBUCURUZI BWA RESTAURANT,5610
UBUCURUZI BWA RESTAURANT,5610
UBWIKOREZI BW'AMAKARA,4921
UBUCURUZI BWA DETAIL,4711
TRANSPORT KU BUTAKA,4921
UBWUBATSI BW'AMAZU,4100
UBUCURUZI(DETAIL),4781
GUTWARA IMBAHO,4921
IMIRIMO YO MU RUGO,9700
UBUHINZI  BW'IBISHEKE,114
UBUHINZI BW'INYANYA,111
UBUHINZI BW'INYANYA,111
UBUHINZI BW'INYANYA,111
UBUHINZI BW'INYANYA,111
UBUHINZI BW'IBISHYIMBO,111
UBUCURUZI BW'IBIRIBWA  MURI BOUTIQUE,4721
UBUHINZI BW'IBISHYIMBO,111
UBWOROZI BW'INKA,141
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BWA BETERAVE,119
UBUHINZI BWA BETERAVE,119
UBUREZI MU MASHURI YISUMBUYE,8521
UBWUBASTI BW'AMAZU,4100
UBUDOZI BW'IMYENDA,1313
UBUDOZI BW'IMYENDA,1313
UBUCURUZI BUDANDAZA UBUCONCO,4721
UBUHINZI BW'IBISHYIMBO,113
UBUHINZI BW'INYANYA,113
UBUHINZI BW'IBISHYIMBO,114
UBUHINZI BW'IBISHYIMBO,113
UBUHINZI IBISHEKE,114
UBUHINZI BW'IBISHEKE,114
UBUHINZI BW'IBISHEKE,114
UBUHINZI BW'INYANYA,113
UBWOROZI BW'IHENE N'INKOKO,146
UBUHINZI BW'IBISHYIMBO,113
UBUHINZI BW'IBISHYIMBO,113
UBUHINZI BW'INYANYA,113
UBUHINZI BW'INYANYA BUGAMIJE KUGURISHA,113
UBUHINZI BW'INYANYA,113
UBUHINZI BW'INYANYA,113
UBUHINZI BW'AMASAKA,111
KUBAKA AMAZU,4100
UBUCURUZI BOUTIQUE,4711
UBUHINZI BW'IBISHYIMBO,113
UBWUBATSI BWINZU,4100
UBWUBATSI BWAMAZU,4100
BAGURISHA GRAVIER,4663
UBUCURUZI BWA BUTIKE,4721
UBUKERA RUGENDO,9321
UBWUBATSI,4100
GUSUKA IMISATSI,9602
GUTWARA ABAGENZI,4921
UBUCUKUZI BW'AMABUYE YO KUBAKISHA,4663
UBUHINZI BW'IBISHEKE,114
UBUCURUZI BW'URWAGWA,4630
UBUCURUZI BW'INKA,4620
UBUREZI BW'ABANA BINCUKE,8510
UBWUBATSI BW'AMAZU,4100
UBUDOZI BW'INKWETO ZICITSE,1520
UBUCURUZI BW'IBINYOBWA,4722
UBWIKOREZI BW'ABANTU KU BUTAKA,4921
UBUHINZI BW'IBISHYIMBO,111
UBUREZI MU MASHURI ABANZA,8510
UBWUBATSI BW'INZU,4100
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'AMASAKA,111
UBUHINZI BW'IBISHYIMBO,111
UBWUBATSI BW'AMAZU,4100
GUCUNGA UMUTEKANO W'ABANTU N'IBINTU,8010
GUKANIKA AMAGARE,6399
UBUHINZI BW'IBISHYIMBO N'IBITOKI,150
UBUHINZI BW'IBISHYIMBO,111
UBUHINZI BW'IBISHYIMBO,111
UBWOROZI BW'INKWAVU,149
UBUHINZI BW'IBISHYIMBO,111
UBWUBATSI BW'IBIGEGA,4390
UBUHINZI BW'IBISHYIMBO NIBINDI,150
UBUDOZI BW'IMYENDA,1313
UBUCURUZI BWA MUCYAYICYAYI,4722
UBUCURUZI BWA CYAYICYAYI,4620
UBUHINZI BW'IBISHYIMBO,111
UMUTEKANO WA BANTU NI BINTU,8010
UBUREZI BW'INSHUKE,8510
UBUHINZI BW'INYANYA,111
UBUHINZI BW'INYANYA,111
UBWUBATSI BW'AMAZU,4100
UBUHINZI BW'IBISHYIMBO,111
UBUVOMYI BW'AMAZI AKORESHWA MU NGO,9820
UBUVOMYI BW'AMAZI,9820
UBUCURUZI BW'URWAGWA,4722
KUBAKA AMAZU,4100
UBUHINZI BW'AMASAKA,111
UBUHINZI BW'IBISHYIMBO,111
GUCURUZA AGATARO,4799
UBWUBATSI BW'AMAZU,4100
UBUCURUZI BWO KWEREKANA FILM,9000
UBUHINZI BW'IMYAKA,113
UBUCURUZI BUDANDAZA,4630
UBUCUKUZI BW'AMABUYE,810
UBUHINZI BW'IBIGORI,111
UBUHINZI BW'IBISHYIMBO,113
